,Start frame,End frame,Duration (frames),Duration (sec)
466,14228.0,14235.0,8.0,0.26666666666666666
467,14237.0,14259.0,23.0,0.7666666666666667
468,14268.0,14270.0,3.0,0.1
469,14296.0,14352.0,57.0,1.9
470,14363.0,14385.0,23.0,0.7666666666666667
471,14391.0,14410.0,20.0,0.6666666666666666
472,14431.0,14439.0,9.0,0.3
473,14465.0,14488.0,24.0,0.8
474,14497.0,14509.0,13.0,0.43333333333333335
475,14515.0,14521.0,7.0,0.23333333333333334
476,14530.0,14539.0,10.0,0.3333333333333333
477,14557.0,14576.0,20.0,0.6666666666666666
478,14612.0,14626.0,15.0,0.5
479,14635.0,14643.0,9.0,0.3
480,14668.0,14671.0,4.0,0.13333333333333333
481,14675.0,14679.0,5.0,0.16666666666666666
482,14694.0,14696.0,3.0,0.1
483,14700.0,14701.0,2.0,0.06666666666666667
484,14707.0,14707.0,1.0,0.03333333333333333
485,14709.0,14709.0,1.0,0.03333333333333333
486,14711.0,14711.0,1.0,0.03333333333333333
487,14713.0,14713.0,1.0,0.03333333333333333
488,14794.0,14799.0,6.0,0.2
489,14822.0,14831.0,10.0,0.3333333333333333
490,14833.0,14842.0,10.0,0.3333333333333333
491,14848.0,14853.0,6.0,0.2
492,14862.0,14866.0,5.0,0.16666666666666666
493,14869.0,14870.0,2.0,0.06666666666666667
494,14873.0,14898.0,26.0,0.8666666666666667
495,14906.0,14907.0,2.0,0.06666666666666667
496,14909.0,14915.0,7.0,0.23333333333333334
497,14919.0,14919.0,1.0,0.03333333333333333
498,14922.0,14929.0,8.0,0.26666666666666666
499,14931.0,14933.0,3.0,0.1
500,14936.0,14952.0,17.0,0.5666666666666667
501,14954.0,14955.0,2.0,0.06666666666666667
502,14964.0,14966.0,3.0,0.1
503,14970.0,14972.0,3.0,0.1
504,14978.0,14980.0,3.0,0.1
505,14986.0,14989.0,4.0,0.13333333333333333
506,14993.0,14995.0,3.0,0.1
507,14997.0,15002.0,6.0,0.2
508,15007.0,15021.0,15.0,0.5
509,15031.0,15043.0,13.0,0.43333333333333335
510,15048.0,15059.0,12.0,0.4
511,15061.0,15066.0,6.0,0.2
512,15085.0,15096.0,12.0,0.4
513,15113.0,15114.0,2.0,0.06666666666666667
514,15118.0,15123.0,6.0,0.2
515,15125.0,15125.0,1.0,0.03333333333333333
516,15158.0,15165.0,8.0,0.26666666666666666
517,15167.0,15171.0,5.0,0.16666666666666666
518,15173.0,15180.0,8.0,0.26666666666666666
519,15183.0,15186.0,4.0,0.13333333333333333
520,15189.0,15192.0,4.0,0.13333333333333333
521,15195.0,15204.0,10.0,0.3333333333333333
522,15207.0,15216.0,10.0,0.3333333333333333
523,15220.0,15226.0,7.0,0.23333333333333334
524,15248.0,15248.0,1.0,0.03333333333333333
525,15323.0,15337.0,15.0,0.5
526,15342.0,15366.0,25.0,0.8333333333333334
527,15451.0,15473.0,23.0,0.7666666666666667
528,15476.0,15480.0,5.0,0.16666666666666666
529,15491.0,15493.0,3.0,0.1
530,15500.0,15524.0,25.0,0.8333333333333334
531,15558.0,15560.0,3.0,0.1
532,15569.0,15577.0,9.0,0.3
533,15606.0,15621.0,16.0,0.5333333333333333
534,15628.0,15641.0,14.0,0.4666666666666667
535,15643.0,15643.0,1.0,0.03333333333333333
536,15646.0,15646.0,1.0,0.03333333333333333
537,15648.0,15648.0,1.0,0.03333333333333333
538,15652.0,15654.0,3.0,0.1
539,15669.0,15696.0,28.0,0.9333333333333333
540,15702.0,15728.0,27.0,0.9
541,15754.0,15764.0,11.0,0.36666666666666664
542,15785.0,15800.0,16.0,0.5333333333333333
543,15828.0,15828.0,1.0,0.03333333333333333
544,15830.0,15832.0,3.0,0.1
545,15843.0,15858.0,16.0,0.5333333333333333
546,15871.0,15879.0,9.0,0.3
547,15888.0,15922.0,35.0,1.1666666666666667
548,15927.0,15953.0,27.0,0.9
549,15976.0,15979.0,4.0,0.13333333333333333
550,15987.0,15999.0,13.0,0.43333333333333335
551,16001.0,16002.0,2.0,0.06666666666666667
552,16073.0,16073.0,1.0,0.03333333333333333
553,16113.0,16120.0,8.0,0.26666666666666666
554,16125.0,16147.0,23.0,0.7666666666666667
555,16184.0,16186.0,3.0,0.1
556,16188.0,16188.0,1.0,0.03333333333333333
557,16272.0,16292.0,21.0,0.7
558,16309.0,16309.0,1.0,0.03333333333333333
559,16315.0,16326.0,12.0,0.4
560,16348.0,16398.0,51.0,1.7
561,16411.0,16416.0,6.0,0.2
562,16428.0,16489.0,62.0,2.066666666666667
563,16492.0,16497.0,6.0,0.2
564,16501.0,16502.0,2.0,0.06666666666666667
565,16521.0,16522.0,2.0,0.06666666666666667
566,16578.0,16584.0,7.0,0.23333333333333334
567,16586.0,16588.0,3.0,0.1
568,16594.0,16598.0,5.0,0.16666666666666666
569,16600.0,16602.0,3.0,0.1
570,16604.0,16607.0,4.0,0.13333333333333333
571,16619.0,16623.0,5.0,0.16666666666666666
572,16627.0,16627.0,1.0,0.03333333333333333
573,16629.0,16632.0,4.0,0.13333333333333333
574,16638.0,16643.0,6.0,0.2
575,16675.0,16680.0,6.0,0.2
576,16686.0,16687.0,2.0,0.06666666666666667
577,16689.0,16689.0,1.0,0.03333333333333333
578,16692.0,16693.0,2.0,0.06666666666666667
579,16695.0,16695.0,1.0,0.03333333333333333
580,16697.0,16698.0,2.0,0.06666666666666667
581,16703.0,16704.0,2.0,0.06666666666666667
582,16706.0,16706.0,1.0,0.03333333333333333
583,16708.0,16712.0,5.0,0.16666666666666666
584,16714.0,16717.0,4.0,0.13333333333333333
585,16724.0,16729.0,6.0,0.2
586,16735.0,16772.0,38.0,1.2666666666666666
587,16793.0,16834.0,42.0,1.4
588,16837.0,16859.0,23.0,0.7666666666666667
589,16874.0,16878.0,5.0,0.16666666666666666
590,16887.0,16889.0,3.0,0.1
591,16901.0,16928.0,28.0,0.9333333333333333
592,16932.0,16948.0,17.0,0.5666666666666667
593,16951.0,16970.0,20.0,0.6666666666666666
594,16975.0,16976.0,2.0,0.06666666666666667
